"","usaf","wban","name","country","state","lat","lon","elev","begin","end","gmt_offset","time_zone_id","country_name","country_code","iso3166_2_subd","fips10_4_subd"
"1",111290,99999,"PASSO DEL BRENNERO","IT","",47,11.5,NA,1987,2015,1,"Europe/Rome","Italy","IT","32","17"
"2",160010,99999,"BASSANO DEL GRAPPA","IT","",45.767,11.733,NA,1977,1979,1,"Europe/Rome","Italy","IT","34","20"
"3",160016,99999,"ANCONA","IT","",43.617,13.517,103,1973,1975,1,"Europe/Rome","Italy","IT","57","10"
"4",160080,99999,"S. VALENTINO ALLA MUTA","IT","",46.75,10.533,1461,1967,2015,1,"Europe/Rome","Italy","IT","32","17"
"5",160083,99999,"RESIA PASS","IT","",46.833,10.5,1800,1987,2015,1,"Europe/Rome","Italy","IT","32","17"
"6",160100,99999,"VIPITENO","IT","",46.883,11.35,942,2004,2004,1,"Europe/Rome","Italy","IT","32","17"
"7",160140,99999,"VIPITENO","IT","",46.883,11.433,921,2005,2012,1,"Europe/Rome","Italy","IT","32","17"
"8",160150,99999,"BRENNERO PASS","IT","",46.983,11.5,1362,1973,1984,1,"Europe/Rome","Italy","IT","32","17"
"9",160180,99999,"SOPRABOLZANO","IT","",46.533,11.417,1298,1973,1976,1,"Europe/Rome","Italy","IT","32","17"
"10",160200,99999,"BOLZANO","IT","",46.46,11.326,240.5,1965,2015,1,"Europe/Rome","Italy","IT","32","17"
"11",160210,99999,"ROLLE PASS","IT","",46.3,11.783,2006,1973,2015,1,"Europe/Rome","Italy","IT","32","17"
"12",160220,99999,"PAGANELLA MOUNTAIN","IT","",46.15,11.033,2129,1973,2015,1,"Europe/Rome","Italy","IT","32","17"
"13",160230,99999,"TRENTO","IT","",46.017,11.117,190,2007,2012,1,"Europe/Rome","Italy","IT","32","17"
"14",160330,99999,"DOBBIACO","IT","",46.733,12.217,1226,1973,2015,1,"Europe/Rome","Italy","IT","32","17"
"15",160360,99999,"AVIANO AB","IT","",46.032,12.596,117,1966,2015,1,"Europe/Rome","Italy","IT","36","06"
"16",160365,99999,"AVIANO (USAF)","IT","",46.017,12.617,126,1956,1995,1,"Europe/Rome","Italy","IT","36","06"
"17",160370,99999,"AVIANO (USAF)","IT","",46.033,12.617,125,1993,2015,1,"Europe/Rome","Italy","IT","36","06"
"18",160400,99999,"TARVISIO","IT","",46.5,13.583,778,1965,2015,1,"Europe/Rome","Italy","IT","36","06"
"19",160410,99999,"TARVISIO","IT","",46.5,13.583,778,2005,2012,1,"Europe/Rome","Italy","IT","36","06"
"20",160440,99999,"UDINE/CAMPOFORMIDO","IT","",46.033,13.183,94,1966,1999,1,"Europe/Rome","Italy","IT","36","06"
"21",160450,99999,"RIVOLTO","IT","",45.979,13.049,54.6,1958,2015,1,"Europe/Rome","Italy","IT","36","06"
"22",160455,99999,"GORIZIA","IT","",45.95,13.633,63,1973,1984,1,"Europe/Rome","Italy","IT","36","06"
"23",160460,99999,"UDINE/RIVOLTO","IT","",45.967,13.033,53,2006,2012,1,"Europe/Rome","Italy","IT","36","06"
"24",160520,99999,"PIAN ROSA (MTN TOP)","IT","",45.933,7.7,3488,1965,2015,1,"Europe/Rome","Italy","IT","23","19"
"25",160530,99999,"COLLE DEL GIGANTE","IT","",46.917,12.1,NA,1973,2005,1,"Europe/Rome","Italy","IT","32","17"
"26",160540,99999,"AOSTA POLLEIN","IT","",45.733,7.35,551,1984,2015,1,"Europe/Rome","Italy","IT","23","19"
"27",160580,99999,"BOUSSON","IT","",44.933,6.817,1400,2005,2012,1,"Europe/Rome","Italy","IT","21","12"
"28",160590,99999,"TORINO CASELLE","IT","",45.201,7.65,301.4,1964,2015,1,"Europe/Rome","Italy","IT","21","12"
"29",160595,99999,"AERITALIA-TORINO","IT","",45.086,7.603,288.3,2008,2015,1,"Europe/Rome","Italy","IT","21","12"
"30",160600,99999,"TORINO VENARIA","IT","",45.117,7.617,277,2005,2012,1,"Europe/Rome","Italy","IT","21","12"
"31",160610,99999,"TORINO/BRIC CROCE","IT","",45.033,7.733,710,1973,2015,1,"Europe/Rome","Italy","IT","21","12"
"32",160640,99999,"CAMERI","IT","",45.53,8.669,178.6,1966,2015,1,"Europe/Rome","Italy","IT","21","12"
"33",160660,99999,"MALPENSA","IT","",45.631,8.728,233.8,1965,2015,1,"Europe/Rome","Italy","IT","25","09"
"34",160670,99999,"GALLARATE","IT","",45.65,8.817,238,2006,2012,1,"Europe/Rome","Italy","IT","25","09"
"35",160680,99999,"CASALE MONFERRATO","IT","",45.1,8.45,120,2005,2012,1,"Europe/Rome","Italy","IT","21","12"
"36",160700,99999,"GRIGNA SETTENTRION","IT","",45.95,9.383,2403,1973,2005,1,"Europe/Rome","Italy","IT","25","09"
"37",160720,99999,"BISBINO MOUNTAIN","IT","",45.867,9.067,1322,1973,2007,1,"Europe/Rome","Italy","IT","25","09"
"38",160730,99999,"MONTE BISBINO","IT","",45.867,9.067,1323,2006,2008,1,"Europe/Rome","Italy","IT","25","09"
"39",160740,99999,"VALCAVA","IT","",45.783,9.517,1262,1977,1979,1,"Europe/Rome","Italy","IT","25","09"
"40",160760,99999,"BERGAMO ORIO AL SERIO","IT","",45.674,9.704,238.4,1966,2015,1,"Europe/Rome","Italy","IT","25","09"
"41",160800,99999,"LINATE","IT","",45.445,9.277,107.6,1931,2015,1,"Europe/Rome","Italy","IT","25","09"
"42",160810,99999,"MILANO/LINATE","IT","",45.467,9.267,108,2005,2009,1,"Europe/Rome","Italy","IT","25","09"
"43",160840,99999,"PIACENZA","IT","",44.913,9.723,139,1966,2015,1,"Europe/Rome","Italy","IT","45","05"
"44",160880,99999,"GHEDI","IT","",45.432,10.268,101.5,1966,2015,1,"Europe/Rome","Italy","IT","25","09"
"45",160890,99999,"DESENZANO","IT","",45.467,10.55,65,2005,2012,1,"Europe/Rome","Italy","IT","25","09"
"46",160900,99999,"VILLAFRANCA","IT","",45.396,10.889,72.8,1945,2015,1,"Europe/Rome","Italy","IT","34","20"
"47",160903,99999,"PADOVA (CIV/IT-AFB)","IT","",45.4,11.85,13,1982,1990,1,"Europe/Rome","Italy","IT","34","20"
"48",160920,99999,"GRAPPA MOUNTAIN","IT","",45.867,11.8,1775,1973,1984,1,"Europe/Rome","Italy","IT","34","20"
"49",160940,99999,"VICENZA","IT","",45.573,11.53,39,1966,2015,1,"Europe/Rome","Italy","IT","34","20"
"50",160950,99999,"PADOVA","IT","",45.4,11.85,14,1973,2015,1,"Europe/Rome","Italy","IT","34","20"
"51",160960,99999,"MOUNT VENDA","IT","",45.317,11.683,575,1973,1979,1,"Europe/Rome","Italy","IT","34","20"
"52",160980,99999,"ISTRANA","IT","",45.685,12.083,41.8,1966,2015,1,"Europe/Rome","Italy","IT","34","20"
"53",160990,99999,"TREVISO","IT","",45.648,12.194,18,1966,2015,1,"Europe/Rome","Italy","IT","34","20"
"54",161000,99999,"VENEZIA/SAN NICOLO","IT","",45.433,12.383,4,1951,1979,1,"Europe/Rome","Italy","IT","34","20"
"55",161010,99999,"VENEZIA LIDO","IT","",45.433,12.383,5,1996,2012,1,"Europe/Rome","Italy","IT","34","20"
"56",161050,99999,"VENEZIA TESSERA","IT","",45.505,12.352,2.1,1961,2015,1,"Europe/Rome","Italy","IT","34","20"
"57",161070,99999,"CONCORDIA SAGITTARIA","IT","",45.75,12.85,2,2005,2012,1,"Europe/Rome","Italy","IT","34","20"
"58",161080,99999,"RONCHI DEI LEGIONARI","IT","",45.828,13.472,11.3,1973,2015,1,"Europe/Rome","Italy","IT","36","06"
"59",161100,99999,"TRIESTE","IT","",45.65,13.75,20,1932,2015,1,"Europe/Rome","Italy","IT",NA,NA
"60",161110,99999,"MONTE SETTEPANI","IT","",44.233,8.2,1382,2005,2012,1,"Europe/Rome","Italy","IT","42","08"
"61",161120,99999,"FRAITEVE MOUNTAIN","IT","",44.983,6.85,2680,1973,1984,1,"Europe/Rome","Italy","IT","21","12"
"62",161140,99999,"MONDOVI","IT","",44.383,7.817,560,1984,2015,1,"Europe/Rome","Italy","IT","21","12"
"63",161150,99999,"MALANOTTE MOUNTAIN","IT","",44.25,7.8,1742,1973,2015,1,"Europe/Rome","Italy","IT","21","12"
"64",161155,99999,"MALANOTTE MOUNTAIN&","IT","",44.25,7.8,1742,1973,1974,1,"Europe/Rome","Italy","IT","21","12"
"65",161160,99999,"GOVONE","IT","",44.8,8.1,315,1973,2001,1,"Europe/Rome","Italy","IT","21","12"
"66",161170,99999,"CUNEO LEVALDIGI","IT","",44.533,7.617,386,1973,2012,1,"Europe/Rome","Italy","IT","21","12"
"67",161180,99999,"NOVI LIGURE","IT","",44.767,8.783,187,1975,2005,1,"Europe/Rome","Italy","IT","21","12"
"68",161190,99999,"GIOVI PASS","IT","",44.633,8.933,475,1973,2015,1,"Europe/Rome","Italy","IT","42","08"
"69",161200,99999,"GENOVA SESTRI","IT","",44.412,8.842,4,1928,2015,1,"Europe/Rome","Italy","IT",NA,NA
"70",161210,99999,"GENOVA","IT","",44.4,8.9,45,1951,2009,1,"Europe/Rome","Italy","IT",NA,NA
"71",161220,99999,"ALBENGA","IT","",44.051,8.127,45.1,1973,2015,1,"Europe/Rome","Italy","IT","42","08"
"72",161230,99999,"CHIAVARI","IT","",44.317,9.333,30,2005,2012,1,"Europe/Rome","Italy","IT","42","08"
"73",161240,99999,"CISA PASS","IT","",44.433,9.933,1040,1973,2015,1,"Europe/Rome","Italy","IT","52","16"
"74",161250,99999,"SARZANA/LUNI","IT","",44.083,9.983,10,1973,2015,1,"Europe/Rome","Italy","IT","42","08"
"75",161260,99999,"PASSO DEI GIOVI","IT","",44.55,8.933,488,2005,2012,1,"Europe/Rome","Italy","IT","42","08"
"76",161270,99999,"SARZANA","IT","",44.083,9.983,9,2005,2012,1,"Europe/Rome","Italy","IT","42","08"
"77",161280,99999,"MODENA","IT","",44.65,10.95,33,2005,2012,1,"Europe/Rome","Italy","IT","45","05"
"78",161290,99999,"PALMARIA ISLAND","IT","",44.033,9.833,192,1973,2009,1,"Europe/Rome","Italy","IT",NA,NA
"79",161300,99999,"PARMA","IT","",44.817,10.283,51,1966,2012,1,"Europe/Rome","Italy","IT","45","05"
"80",161320,99999,"BOLOGNA","IT","",44.533,11.283,52,2005,2012,1,"Europe/Rome","Italy","IT","45","05"
"81",161330,99999,"FERRARA","IT","",44.8,11.6,10,2005,2012,1,"Europe/Rome","Italy","IT","45","05"
"82",161340,99999,"CIMONE MOUNTAIN","IT","",44.2,10.7,2173,1965,2015,1,"Europe/Rome","Italy","IT","45","05"
"83",161343,99999,"PORRETTA PASS","IT","",44.033,10.933,932,1990,1994,1,"Europe/Rome","Italy","IT","52","16"
"84",161350,99999,"PASSO PORRETTA","IT","",44.033,11,1314,2005,2009,1,"Europe/Rome","Italy","IT","52","16"
"85",161360,99999,"PASSO PORRETTA","IT","",44.017,11,1314,1973,2009,1,"Europe/Rome","Italy","IT","52","16"
"86",161380,99999,"FERRARA (AUT)","IT","",44.833,11.617,10,1973,2015,1,"Europe/Rome","Italy","IT","45","05"
"87",161400,99999,"BOLOGNA","IT","",44.535,11.289,37.5,1964,2015,1,"Europe/Rome","Italy","IT","45","05"
"88",161420,99999,"RIFREDO MUGELLO","IT","",44.05,11.383,887,1944,2005,1,"Europe/Rome","Italy","IT","52","16"
"89",161440,99999,"S. PIETRO CAPOFIUME MOLINELLA (BOLOGNA)","IT","",44.65,11.617,12,2000,2001,1,"Europe/Rome","Italy","IT","45","05"
"90",161450,99999,"PUNTA MARINA","IT","",44.467,12.283,6,2005,2012,1,"Europe/Rome","Italy","IT","45","05"
"91",161460,99999,"POINT MARINA/RAVENN","IT","",44.45,12.3,6,1966,2015,1,"Europe/Rome","Italy","IT",NA,NA
"92",161470,99999,"FORLI","IT","",44.195,12.07,29.6,1973,2015,1,"Europe/Rome","Italy","IT","45","05"
"93",161480,99999,"CERVIA","IT","",44.224,12.307,5.5,1973,2015,1,"Europe/Rome","Italy","IT","45","05"
"94",161490,99999,"RIMINI","IT","",44.02,12.612,12.5,1945,2015,1,"Europe/Rome","Italy","IT","45","05"
"95",161500,99999,"IMPERIA","IT","",43.867,8.033,60,1985,2012,1,"Europe/Rome","Italy","IT",NA,NA
"96",161530,99999,"CAPE MELE","IT","",43.95,8.167,221,1965,2015,1,"Europe/Rome","Italy","IT",NA,NA
"97",161540,99999,"ISOLA GORGONA","IT","",43.433,9.9,260,1973,2009,1,"Europe/Rome","Italy","IT","52","16"
"98",161550,99999,"ISOLA CAPRAIA","IT","",43.033,9.817,27,2007,2008,1,"Europe/Rome","Italy","IT","52","16"
"99",161580,99999,"PISA","IT","",43.684,10.393,1.8,1944,2015,1,"Europe/Rome","Italy","IT","52","16"
"100",161640,99999,"VOLTERRA","IT","",43.4,10.867,575,1973,2006,1,"Europe/Rome","Italy","IT","52","16"
"101",161650,99999,"VOLTERRA","IT","",43.4,10.883,575,2005,2006,1,"Europe/Rome","Italy","IT","52","16"
"102",161680,99999,"MOUNT ARGENTARIO","IT","",42.383,11.167,632,1973,2015,1,"Europe/Rome","Italy","IT","52","16"
"103",161700,99999,"FIRENZE","IT","",43.81,11.205,43.9,1931,2015,1,"Europe/Rome","Italy","IT","52","16"
"104",161710,99999,"FIRENZE","IT","",43.783,11.217,18,2005,2012,1,"Europe/Rome","Italy","IT","52","16"
"105",161720,99999,"AREZZO","IT","",43.467,11.85,249,1978,2015,1,"Europe/Rome","Italy","IT","52","16"
"106",161740,99999,"SIENA","IT","",43.317,11.35,322,1973,1978,1,"Europe/Rome","Italy","IT","52","16"
"107",161743,99999,"SIENA             &","IT","",43.317,11.35,322,1944,1945,1,"Europe/Rome","Italy","IT","52","16"
"108",161760,99999,"SASSOFELTRIO","IT","",43.883,12.517,461,1973,1975,1,"Europe/Rome","Italy","IT","57","10"
"109",161780,99999,"FRONTONE","IT","",43.517,12.717,574,2005,2012,1,"Europe/Rome","Italy","IT","57","10"
"110",161790,99999,"FRONTONE","IT","",43.517,12.733,574,1973,2015,1,"Europe/Rome","Italy","IT","57","10"
"111",161800,99999,"PERUGIA","IT","",43.133,12.383,493,1965,2005,1,"Europe/Rome","Italy","IT","55","18"
"112",161810,99999,"PERUGIA","IT","",43.096,12.513,211.2,1967,2015,1,"Europe/Rome","Italy","IT","55","18"
"113",161820,99999,"PERUGIA S. EGIDIO","IT","",43.1,12.5,205,2005,2012,1,"Europe/Rome","Italy","IT","55","18"
"114",161900,99999,"ANCONA","IT","",43.617,13.533,142,1949,2012,1,"Europe/Rome","Italy","IT","57","10"
"115",161910,99999,"FALCONARA","IT","",43.616,13.362,14.9,1945,2015,1,"Europe/Rome","Italy","IT","57","10"
"116",161915,99999,"JESI","IT","",43.517,13.233,-999,1973,1974,1,"Europe/Rome","Italy","IT","57","10"
"117",161920,99999,"LORETO","IT","",43.433,13.583,197,2005,2009,1,"Europe/Rome","Italy","IT","57","10"
"118",161970,99999,"MONTE CALAMITA","IT","",42.733,10.4,397,1973,2015,1,"Europe/Rome","Italy","IT","52","16"
"119",161980,99999,"ISOLA D'ELBA","IT","",42.733,10.4,397,2005,2009,1,"Europe/Rome","Italy","IT","52","16"
"120",162000,99999,"PIANOSA ISLAND","IT","",42.583,10.1,15,1965,1979,1,"Europe/Rome","Italy","IT","52","16"
"121",162040,99999,"RADICOFANI","IT","",42.9,11.767,918,1973,2015,1,"Europe/Rome","Italy","IT","52","16"
"122",162060,99999,"GROSSETO","IT","",42.76,11.072,4.6,1944,2015,1,"Europe/Rome","Italy","IT","52","16"
"123",162120,99999,"S. TERESA","IT","",44.417,14.167,5,2007,2007,1,"Europe/Zagreb","Croatia","HR",NA,NA
"124",162140,99999,"CIVITAVECCHIA","IT","",42.017,11.817,4,1945,2015,1,"Europe/Rome","Italy","IT",NA,NA
"125",162150,99999,"CIVITAVECCHIA","IT","",42.02,11.82,4,2005,2015,1,"Europe/Rome","Italy","IT",NA,NA
"126",162160,99999,"VITERBO","IT","",42.43,12.064,301.8,1944,2015,1,"Europe/Rome","Italy","IT","62","07"
"127",162170,99999,"ORTE","IT","",42.483,12.333,75,2005,2012,1,"Europe/Rome","Italy","IT","62","07"
"128",162180,99999,"VITERBO","IT","",42.433,12.05,310,2005,2012,1,"Europe/Rome","Italy","IT","62","07"
"129",162190,99999,"TERMINILLO MOUNTAIN","IT","",42.467,12.983,1875,1965,2015,1,"Europe/Rome","Italy","IT","62","07"
"130",162210,99999,"RIETI","IT","",42.417,12.85,389,1973,2015,1,"Europe/Rome","Italy","IT","62","07"
"131",162230,99999,"VIGNA DI VALLE","IT","",42.083,12.217,266,2005,2008,1,"Europe/Rome","Italy","IT","62","07"
"132",162240,99999,"VIGNA DI VALLE(MIL)","IT","",42.083,12.217,270,1973,2015,1,"Europe/Rome","Italy","IT","62","07"
"133",162250,99999,"GROTTAMMARE","IT","",42.983,13.867,1,1973,1984,1,"Europe/Rome","Italy","IT","57","10"
"134",162260,99999,"L'AQUILA","IT","",42.367,13.317,669,2005,2008,1,"Europe/Rome","Italy","IT","65","01"
"135",162270,99999,"FUCINO","IT","",41.983,13.6,650,1984,2012,1,"Europe/Rome","Italy","IT","65","01"
"136",162280,99999,"PRETURO","IT","",42.367,13.3,667,1973,1989,1,"Europe/Rome","Italy","IT","65","01"
"137",162281,99999,"GRAN SASSO MTN RNG","IT","",42.45,13.55,2138,1985,1990,1,"Europe/Rome","Italy","IT","65","01"
"138",162283,99999,"GRAN SASSO MTN RNG","IT","",42.45,13.7,2138,1990,2009,1,"Europe/Rome","Italy","IT","65","01"
"139",162290,99999,"GRAN SASSO MTN RNG","IT","",42.45,13.7,2138,2003,2005,1,"Europe/Rome","Italy","IT","65","01"
"140",162300,99999,"PESCARA","IT","",42.432,14.181,14.6,1965,2015,1,"Europe/Rome","Italy","IT","65","01"
"141",162310,99999,"MONTE S. ANGELO","IT","",41.7,15.95,844,2004,2015,1,"Europe/Rome","Italy","IT","75","13"
"142",162320,99999,"TERMOLI","IT","",42,15,44,1973,2015,1,"Europe/Rome","Italy","IT","67","11"
"143",162330,99999,"GUIDONIA","IT","",42,12.733,90,2005,2012,1,"Europe/Rome","Italy","IT","62","07"
"144",162340,99999,"GUIDONIA","IT","",41.99,12.741,88.1,1966,2015,1,"Europe/Rome","Italy","IT","62","07"
"145",162350,99999,"URBE","IT","",41.952,12.499,16.8,1973,2015,1,"Europe/Rome","Italy","IT","62","07"
"146",162380,99999,"ROMA/CENTOCELLE","IT","",41.867,12.567,53,2005,2012,1,"Europe/Rome","Italy","IT","62","07"
"147",162390,99999,"CIAMPINO","IT","",41.799,12.595,130.1,1951,2015,1,"Europe/Rome","Italy","IT","62","07"
"148",162400,99999,"ROME","IT","",41.9,12.483,95,1928,2004,1,"Europe/Rome","Italy","IT","62","07"
"149",162420,99999,"FIUMICINO","IT","",41.804,12.251,4.6,1965,2015,1,"Europe/Rome","Italy","IT","62","07"
"150",162430,99999,"LATINA","IT","",41.542,12.909,28.3,1944,2015,1,"Europe/Rome","Italy","IT","62","07"
"151",162440,99999,"FROSINONE (IT-AFB)","IT","",41.633,13.3,181,1973,2015,1,"Europe/Rome","Italy","IT","62","07"
"152",162450,99999,"PRATICA DI MARE","IT","",41.659,12.445,12.5,1966,2015,1,"Europe/Rome","Italy","IT","62","07"
"153",162460,99999,"FROSINONE","IT","",41.633,13.3,186,2005,2009,1,"Europe/Rome","Italy","IT","62","07"
"154",162470,99999,"LATINA","IT","",41.55,12.9,26,2005,2009,1,"Europe/Rome","Italy","IT","62","07"
"155",162490,99999,"CAPE CIRCEO","IT","",41.217,13.05,3,1973,2012,1,"Europe/Rome","Italy","IT",NA,NA
"156",162520,99999,"CAMPOBASSO","IT","",41.567,14.65,807,1965,2015,1,"Europe/Rome","Italy","IT","67","11"
